path,item_name,type,url,min_grade,pg_status,risk_level,concern,action_needed,reviewer_notes
applications.html,Scratch,Coding Tool,https://scratch.mit.edu/,K-2,Approved,Low,None,None,Excellent K-12 entry point. No community browsing required.
applications.html,Code.org,Coding Tool,https://studio.code.org/,3-5,Approved,Low,None,None,Well-moderated. Safe for all grade bands.
applications.html,Wokwi,Engineering Tool,https://wokwi.com/,3-5,Approved,Low,None,None,No community content. Circuit simulation only.
applications.html,Google Music Lab,Music Tool,https://musiclab.chromeexperiments.com/,K-2,Approved,Low,None,None,No accounts. Fully sandboxed experiments.
applications.html,Clever,School Portal,https://clever.com/,K-2,Approved,Low,None,None,District-issued login. Safe.
applications.html,Khan Academy,Learning Platform,https://www.khanacademy.org/,3-5,Approved,Low,None,None,Age-appropriate. Well-moderated content.
applications.html,Duolingo,Language Learning,https://www.duolingo.com/,3-5,Approved,Low,None,None,Some social features (leaderboards) but no community chat.
applications.html,Britannica,Reference,https://www.britannica.com/,6-8,Approved,Low,None,None,Vetted encyclopedia. Appropriate for 6-8+.
applications.html,PBS Kids Games,Educational Games,https://pbskids.org/games,K-2,Approved,Low,None,None,Curated for PreK-2. Safe.
applications.html,RoomRecess,Educational Games,https://www.roomrecess.com/,K-2,Approved,Low,None,None,Teacher-built games. Clean content.
applications.html,Toy Theater,Interactive Learning,https://toytheater.com/,K-2,Approved,Low,None,None,Math and logic games. No community content.
applications.html,Funbrain,Academic Games,https://www.funbrain.com/,K-2,Approved,Low,None,None,Classic educational games. Generally clean.
applications.html,NASA,Science Reference,https://www.nasa.gov/,3-5,Approved,Low,None,None,Government science site. Safe.
applications.html,NASA Eyes,Science Tool,https://eyes.nasa.gov/,3-5,Approved,Low,None,None,Interactive solar system explorer. Safe.
applications.html,NASA Climate Kids,Science Games,https://climatekids.nasa.gov/,K-2,Approved,Low,None,None,Kid-focused NASA climate content. Safe.
applications.html,Smithsonian Learning Lab,Museum,https://learninglab.si.edu/,3-5,Approved,Low,None,None,Teacher-curated museum resources. Safe.
applications.html,Google Arts & Culture,Art/Culture,https://artsandculture.google.com/,3-5,Approved,Low,Minor: some classical art nudity in museum collections,Teacher should filter specific galleries,Generally safe. Teacher should preview art collections before assigning.
applications.html,Desmos,Math Tool,https://www.desmos.com/calculator,3-5,Approved,Low,None,None,No community content. Excellent math tool.
applications.html,PhET Simulations,Science Tool,https://phet.colorado.edu/,3-5,Approved,Low,None,None,University of Colorado. Fully educational. Safe.
applications.html,GeoGebra,Math Tool,https://www.geogebra.org/,3-5,Approved,Low,None,None,No community content surfaced by default. Safe.
applications.html,Gapminder,Data Tool,https://www.gapminder.org/,6-8,Approved,Low,None,None,Data visualization for development statistics. Safe.
applications.html,Our World in Data,Data Tool,https://ourworldindata.org/,6-8,Approved,Low,None,None,Research-backed data journalism. Safe.
applications.html,Map.club,Geography Tool,https://map.club/,6-8,Approved,Low,None,None,Mapping and geography. No community content.
applications.html,Library of Congress,Primary Sources,https://www.loc.gov/,6-8,Approved,Low,None,None,Government archive. Appropriate for research.
applications.html,Project Gutenberg,Digital Library,https://www.gutenberg.org/,6-8,Approved,Low,Minor: some public domain works have mature themes,Teacher should assign specific titles,Safe for assigned reading. Students should not browse freely.
applications.html,Open Library,Digital Library,https://openlibrary.org/,6-8,Approved — Teacher Guidance,Low,Public book catalog with mixed content,Teacher should assign specific titles,Internet Archive library. Browsing may surface inappropriate books.
applications.html,HathiTrust,Academic Archive,https://www.hathitrust.org/,9-12,Approved,Low,None,None,Academic archive. Appropriate for high school research.
applications.html,Google Scholar,Academic Search,https://scholar.google.com/,6-8,Approved,Low,None,None,Academic paper search. Safe.
applications.html,NCBI / PubMed,Biomedical Research,https://www.ncbi.nlm.nih.gov/,9-12,Approved — Teacher Guidance,Low,Medical research content may include mature health topics,Teacher should frame research context,Appropriate for high school biology/health research with teacher framing.
applications.html,arXiv,Research Preprints,https://arxiv.org/,9-12,Approved,Low,None,None,Science preprint server. Safe for high school.
applications.html,Stanford Encyclopedia of Philosophy,Reference,https://plato.stanford.edu/,9-12,Approved — Teacher Guidance,Low,Some philosophical content conflicts with Christian worldview,Teacher should frame articles in worldview context,High-level academic. Safe text; worldview context needed for controversial topics.
applications.html,Wolfram MathWorld,Math Reference,https://mathworld.wolfram.com/,9-12,Approved,Low,None,None,Math reference. Safe.
applications.html,Scholarpedia,Science Reference,http://www.scholarpedia.org/,9-12,Approved,Low,None,None,Peer-reviewed science wiki. Safe.
applications.html,Google Docs,Productivity,https://docs.google.com/,3-5,Approved,Low,None,None,School account required. Safe.
applications.html,Google Sheets,Productivity,https://sheets.google.com/,6-8,Approved,Low,None,None,School account required. Safe.
applications.html,Google Slides,Productivity,https://slides.google.com/,3-5,Approved,Low,None,None,School account required. Safe.
applications.html,Google Drive,Productivity,https://drive.google.com/,3-5,Approved,Low,None,None,School account required. Safe.
applications.html,Google Forms,Productivity,https://forms.google.com/,3-5,Approved,Low,None,None,School account required. Safe.
applications.html,Google Sites,Web Publishing,https://sites.google.com/,3-5,Approved,Low,None,None,Controlled publishing. Safe.
applications.html,Canva,Design Tool,https://www.canva.com/,K-2,Approved — Teacher Guidance,Low,Community templates can surface inappropriate designs in free browse,Teacher should use class mode or direct to specific templates,Canva for Education mode is safe. Free browsing of community templates is not.
applications.html,Figma,Design Tool,https://www.figma.com/,6-8,Approved — Teacher Guidance,Low,Community files section has unmoderated designs,Direct students to specific files only; avoid community browse,Safe for guided project work. Community file browser not appropriate.
applications.html,Clipchamp,Video Editing,https://clipchamp.com/,3-5,Approved,Low,None,None,Microsoft product. No community feed. Safe.
applications.html,WeVideo,Video Editing,https://www.wevideo.com/,6-8,Approved — Teacher Guidance,Low,Community video feed exists on homepage,Teacher should create class with direct login link,Education accounts available. Community feed is not student-appropriate.
applications.html,Kapwing,Media Editing,https://www.kapwing.com/,6-8,Approved — Teacher Guidance,Low,Community meme templates visible on homepage; some crude humor,Direct students to specific tool URLs; avoid homepage browsing,Core editing tools are fine. Community template gallery needs supervision.
applications.html,Photopea,Image Editing,https://www.photopea.com/,3-5,Approved,Low,Minor: some ads,No action needed,Ad-supported but no community content. Good Photoshop alternative.
applications.html,EZGif,Image Editing,https://ezgif.com/,3-5,Approved,Low,None,None,Utility tool. No community content. Safe.
applications.html,TinyPNG,Image Optimization,https://tinypng.com/,3-5,Approved,Low,None,None,Utility tool. Safe.
applications.html,Pixlr,Image Editing,https://pixlr.com/,3-5,Approved — Teacher Guidance,Medium,Ads and account upsell prompts; some community templates,Teacher should demonstrate first; use direct tool URLs,Core editor is fine. Marketing flow is noisy.
applications.html,Piskel,Pixel Art,https://www.piskelapp.com/,3-5,Approved,Low,None,None,Pixel art editor. No community feed. Safe.
applications.html,OBS Studio,Recording Software,https://obsproject.com/,6-8,Approved — Teacher Guidance,Low,Software download; not intended for K-5,Teacher installs and configures; students use teacher-set profile,Appropriate for 6-8+ media production projects.
applications.html,Tinkercad,CAD Tool,https://www.tinkercad.com/,3-5,Approved,Low,None,None,Autodesk education product. Safe. Use class codes.
applications.html,SketchUp for Education,CAD Tool,https://edu.sketchup.com/,6-8,Approved,Low,None,None,Education license. Safe.
applications.html,Onshape,CAD Tool,https://www.onshape.com/,6-8,Approved — Teacher Guidance,Low,Account required; community shared documents visible,Teacher creates class and assigns specific documents,Excellent CAD tool for high school. Community browser needs teacher gate.
applications.html,VEX VR,Robotics Simulation,https://vr.vex.com/,3-5,Approved,Low,None,None,VEX robotics education. Safe. No community content.
applications.html,Wokwi (duplicate),Engineering Tool,https://wokwi.com/,3-5,Approved,Low,None,None,See Wokwi above.
applications.html,Diode.io,Circuit Simulation,https://www.withdiode.com/,6-8,Approved,Low,None,None,Circuit simulator. Safe.
applications.html,CircuitLab,Circuit Simulation,https://www.circuitlab.com/,6-8,Approved,Low,None,None,Electronics simulation. Safe.
applications.html,Falstad Circuit,Circuit Simulation,https://www.falstad.com/circuit/,6-8,Approved,Low,None,None,Physics-accurate circuit sim. Safe.
applications.html,Gazebo,Robotics Simulation,https://gazebosim.org/,9-12,Approved — Teacher Guidance,Low,Complex tool; requires Linux familiarity,Teacher framing needed for setup,Appropriate for advanced CS/robotics students.
applications.html,Arduino Project Hub,Electronics Reference,https://projecthub.arduino.cc/,6-8,Approved — Teacher Guidance,Low,Community project uploads; some projects use combat/weapon themes,Teacher should curate specific projects,Mostly educational. Teacher should preview linked projects.
applications.html,SparkFun Learn,Electronics Reference,https://learn.sparkfun.com/,6-8,Approved,Low,None,None,Well-organized electronics tutorials. Safe.
applications.html,Adafruit Learn,Electronics Reference,https://learn.adafruit.com/,6-8,Approved,Low,None,None,Maker project guides. Safe.
applications.html,Cura,3D Print Software,https://ultimaker.com/software/ultimaker-cura/,6-8,Approved,Low,None,None,Software download. No community content. Safe.
applications.html,Prusa Slicer,3D Print Software,https://www.prusa3d.com/page/prusaslicer_424/,6-8,Approved,Low,None,None,Software download. Safe.
applications.html,STL Viewer,3D Viewer,https://www.viewstl.com/,3-5,Approved,Low,None,None,Utility viewer. Safe.
applications.html,MakeCode micro:bit,Coding Tool,https://makecode.microbit.org/,3-5,Approved,Low,None,None,Microsoft education product. Safe.
applications.html,Printables,3D Model Repository,https://www.printables.com/,6-8,Approved — Teacher Guidance,Medium,Community-uploaded 3D models; some designs are weapons or mature themes,Teacher should search and share specific model links; students should not browse freely,Prusa-run community. Browsing not appropriate without teacher curation.
applications.html,Replit,Online Coding,https://replit.com/,6-8,Approved — Teacher Guidance,Medium,Community Repl gallery has unmoderated projects; some have crude names/content,Teacher creates Teams for Education class; students should not browse community,Teams for Education version is appropriate. Public community browser is not.
applications.html,Glitch,Web App Remix,https://glitch.com/,6-8,Approved — Teacher Guidance,Medium,Community projects visible on homepage; unmoderated content in project descriptions,Teacher should share direct project links; avoid homepage,Safe for guided remixing. Community discovery not appropriate.
applications.html,GitHub,Version Control,https://github.com/,6-8,Approved — Teacher Guidance,Medium,Open community; repositories may contain any content; not inherently moderated for minors,Teacher creates org/repo and shares specific links; no free browsing,Appropriate for 6-8+ when scoped to specific classroom repos.
applications.html,GitHub Desktop,Desktop App,https://desktop.github.com/,6-8,Approved,Low,None,None,Download page. Safe.
applications.html,Ninite,Software Installer,https://ninite.com/,Teacher,Teacher Only,Low,Teacher workflow only,Keep as Teacher Only,Useful for lab setup. Not a student tool.
applications.html,GDevelop,Game Engine,https://gdevelop.io/,3-5,Approved — Teacher Guidance,Medium,Community game gallery has unmoderated games; some include combat/violence,Direct students to editor; avoid community games section,Core engine is appropriate. Community game browser is not.
applications.html,Godot Engine,Game Engine,https://godotengine.org/,6-8,Approved — Teacher Guidance,Low,Download and documentation site; no community content on main site,None,Appropriate for older students learning game development.
applications.html,MakeCode Arcade,Game Design,https://arcade.makecode.com/,3-5,Approved,Low,None,None,Microsoft education platform. Community gallery is generally safe but teacher should preview.
applications.html,Bloxels,Game Design,https://play.bloxels.com/,3-5,Approved,Low,None,None,Pixel game builder. Student-friendly platform.
applications.html,Blockly Games,Coding Puzzles,https://blockly.games/,K-2,Approved,Low,None,None,Google education tool. Safe.
applications.html,MIT Game Lab,Research,https://gamelab.mit.edu,9-12,Approved — Teacher Guidance,Low,Academic research site; some projects explore mature game themes,Teacher should preview linked projects,Appropriate for high school game design research.
applications.html,Lightbot,Logic Puzzles,https://lightbot.com/,K-2,Approved,Low,None,None,Programming logic game. Safe for all ages.
applications.html,ScratchJr,Beginner Coding,https://codejr.org/scratchjr/index.html,K-2,Approved,Low,None,None,MIT early coding. Safe.
applications.html,Freeciv,Strategy Game,https://www.freecivweb.com/,6-8,Approved — Teacher Guidance,Medium,Military strategy game; players build armies and conquer territories; war is the primary mechanic,Teacher must frame as systems-thinking and historical study; not for free play,Civilization-style strategy. Educational value is real but war mechanics need teacher framing. Not appropriate for K-5.
applications.html,The Oregon Trail,Historical Simulation,https://oregontrail.ws/games/the-oregon-trail/,3-5,Approved — Teacher Guidance,Low,Death and disease mechanics; family members can die,Teacher introduces the historical context first,Classic educational game. Death mechanics are historically appropriate. Teacher intro required for younger students.
